unit_id,watershed_feature_id,fwa_watershed_code,gnis_name,area_ha
trout,12520,300-432687-657912-378895-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Bull Creek,4769.3
trout,12521,300-432687-657912-417304-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Bearpaw Creek,2304.9
trout,12522,300-432687-657912-503029-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Lost Chain Creek,3993.3
trout,12523,300-432687-657912-579064-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Camp Creek,3657.5
trout,12524,300-432687-657912-718995-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Empress Creek,2277.9
trout,12525,300-432687-657912-810143-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North Trout Creek,5838.6
trout,12526,300-432687-657912-918021-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Crescent Creek,2150.0
trout,12527,300-432687-657912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trout Creek,5154.5
trout,12528,300-432687-657912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trout Creek,3036.1
trout,12529,300-432687-657912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trout Creek,4916.0
trout,12530,300-432687-657912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trout Creek,6624.1
trout,12531,300-432687-657912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trout Creek,3518.0
trout,12532,300-432687-657912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trout Creek,3313.7
trout,12533,300-432687-657912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Trout Creek,3510.5
vaseux,12492,300-432687-532922-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Vaseux Creek,7146.8
vaseux,12493,300-432687-532922-124401-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Dutton Creek,3212.7
vaseux,12494,300-432687-532922-457518-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Solco Creek,5068.4
vaseux,12495,300-432687-532922-457518-170722-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,2811.8
vaseux,12496,300-432687-532922-525984-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Underdown Creek,2609.7
vaseux,12497,300-432687-532922-615284-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,McIntyre Creek,3332.1
vaseux,12498,300-432687-532922-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Vaseux Creek,5249.9
vernon_excl_coldstream,12587,300-432687-941950-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Vernon Creek,5102.0
vernon_excl_coldstream,12593,300-432687-941950-412980-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Oyama Creek,4402.0
vernon_excl_coldstream,12594,300-432687-941950-521357-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Winfield Creek,2605.2
vernon_excl_coldstream,12596,300-432687-941950-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Vernon Creek,5655.6
vernon_excl_coldstream,12597,300-432687-941950-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Kalamalka Lake,2564.0
vernon_excl_coldstream,12598,300-432687-941950-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Vernon Creek,4017.4
vernon_excl_coldstream,12599,300-432687-941950-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Vernon Creek,5259.3
vernon_excl_coldstream,12600,300-432687-941950-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Vernon Creek,9234.1
whiteman,12601,300-432687-948928-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Whiteman Creek,13041.0
whiteman,12602,300-432687-948928-295453-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Bouleau Creek,7213.7
